year,date,cpi_new_vehicles,cpi_all_items
1999,1999-10-01,142.3,168.1
1999,1999-11-01,143.1,168.4
1999,1999-12-01,143.6,168.8
2000,2000-01-01,143.3,169.3
2000,2000-02-01,143,170
2000,2000-03-01,143.3,171
2000,2000-04-01,143.5,170.9
2000,2000-05-01,143.3,171.2
2000,2000-06-01,142.9,172.2
2000,2000-07-01,142.5,172.7
2000,2000-08-01,141.9,172.7
2000,2000-09-01,141.4,173.6
2000,2000-10-01,141.6,173.9
2000,2000-11-01,142.7,174.2
2000,2000-12-01,143.6,174.6
2001,2001-01-01,143.7,175.6
2001,2001-02-01,143.3,176
2001,2001-03-01,142.8,176.1
2001,2001-04-01,142.7,176.4
2001,2001-05-01,142.3,177.3
2001,2001-06-01,141.7,177.7
2001,2001-07-01,141.2,177.4
2001,2001-08-01,140.3,177.4
2001,2001-09-01,140.2,178.1
2001,2001-10-01,141,177.6
2001,2001-11-01,142.6,177.5
2001,2001-12-01,143.5,177.4
2002,2002-01-01,142.7,177.7
2002,2002-02-01,141.2,178
2002,2002-03-01,140.7,178.5
2002,2002-04-01,140.4,179.3
2002,2002-05-01,139.8,179.5
2002,2002-06-01,139.2,179.6
2002,2002-07-01,138.7,180
2002,2002-08-01,138.1,180.5
2002,2002-09-01,138.7,180.8
2002,2002-10-01,139.5,181.2
2002,2002-11-01,140.4,181.5
2002,2002-12-01,140.6,181.8
2003,2003-01-01,139.7,182.6
2003,2003-02-01,139.2,183.6
2003,2003-03-01,139.3,183.9
2003,2003-04-01,138.7,183.2
2003,2003-05-01,138.1,182.9
2003,2003-06-01,137.3,183.1
2003,2003-07-01,136.7,183.7
2003,2003-08-01,136.8,184.5
2003,2003-09-01,136.4,185.1
2003,2003-10-01,136.5,184.9
2003,2003-11-01,137.5,185
2003,2003-12-01,138,185.5
2004,2004-01-01,138,186.3
2004,2004-02-01,138.3,186.7
2004,2004-03-01,137.9,187.1
2004,2004-04-01,137.6,187.4
2004,2004-05-01,137.4,188.2
2004,2004-06-01,137.2,188.9
